#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,BS-1,ISDB-S,,,xxx[kHz](),hex,,,,,,,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
#,INZ,[No],[input/standard],,,[Frequency],[TS-ID],,,,,,,,,[PCR-PID],[VIDEO-PID],[VIDEO-CO],[AUDIO-PID],[AUDIO-CO],[FRAMERATE]
,INZ,HKG-37-083,DTMB,83,,602000,multi,various,pn420,16qam,0.8,720,on,,0x0053,0x033E,0x0340,mpeg2,0x0341,ac3,25
,INZ,FSHKG-083,DTMB,84,,602000,multi,various,pn420,16qam,0.8,720,on,,,0x033F,0x0340,mpeg2,0x0341,ac3,25
,INZ,HKG-37-085,DTMB,85,,602000,multi,various,pn420,16qam,0.8,720,on,,0x0055,0x0353,0x0353,avc,0x0354,ac3,25
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,,analog-terr,,,xxx[kHz](),,,,,,,on/off,,,ntsc/pal/secam,23.97/24/25/29.97/30/47.94/48/50/59.94/60,,,,
#,INZ,[No],[input/standard],,,[Frequency],[vsystem],[asystem],,,,,[LNA],,,[format],[FRAMERATE],,,,
,INZ,US-2,analog-terr,2,,55250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,US-4,analog-terr,4,,67250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,US-6,analog-terr,6,,83250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,JA-2,analog-terr,3,,97250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,JA-4,analog-terr,5,,171250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,JA-6,analog-terr,8,,183250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,JA-8,analog-terr,10,,193250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,JA-10,analog-terr,12,,205250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,JA-12,analog-terr,23,,217250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,,analog-terr,,,xxx[kHz](),,,,,,,on/off,,,ntsc/pal/secam,23.97/24/25/29.97/30/47.94/48/50/59.94/60,,,,
#,INZ,[No],[input/standard],,,[Frequency],[vsystem],[asystem],,,,,[LNA],,,[format],[FRAMERATE],,,,
,INZ,JA-15,analog-terr,16,,483250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,JA-17,analog-terr,18,,495250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,JA-62,analog-terr,63,,765250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
,INZ,US-69,analog-terr,69,,801250,M,BTSC,,,,,off,,,NTSC,29.97,,,,
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,,analog-terr,,,xxx[kHz](),,,,,,,on/off,,,ntsc/pal/secam,23.97/24/25/29.97/30/47.94/48/50/59.94/60,,,,
#,INZ,[No],[input/standard],,,[Frequency],[vsystem],[asystem],,,,,[LNA],,,[format],[FRAMERATE],,,,
,INZ,R-1,analog-terr,1,,49750,D,UNKNOWN,,,,,off,,,PAL,25,,,,
,INZ,E-4,analog-terr,4,,62250,B,UNKNOWN,,,,,off,,,SECAM,25,,,,
,INZ,C-10,analog-terr,10,,200250,D,UNKNOWN,,,,,off,,,PAL,25,,,,
,INZ,E-12,analog-terr,12,,224250,B,UNKNOWN,,,,,off,,,PAL,25,,,,
,INZ,E-22,analog-terr,22,,479250,K,UNKNOWN,,,,,off,,,SECAM,25,,,,
,INZ,E-24,analog-terr,24,,495250,I,UNKNOWN,,,,,off,,,PAL,25,,,,
,INZ,E-27,analog-terr,27,,519250,I,UNKNOWN,,,,,off,,,PAL,25,,,,
,INZ,E-42,analog-terr,42,,639250,G,UNKNOWN,,,,,off,,,PAL,25,,,,
,INZ,E-45,analog-terr,45,,663250,G,UNKNOWN,,,,,off,,,PAL,25,,,,
,INZ,E-48,analog-terr,48,,687250,G,UNKNOWN,,,,,off,,,SECAM,25,,,,
,INZ,E-51,analog-terr,51,,711250,I,UNKNOWN,,,,,off,,,PAL,25,,,,
,INZ,E-54,analog-terr,54,,735250,G,UNKNOWN,,,,,off,,,PAL,25,,,,
,INZ,E-64,analog-terr,64,,815250,G,UNKNOWN,,,,,off,,,PAL,25,,,,
,INZ,E-67,analog-terr,67,,839250,I,UNKNOWN,,,,,off,,,NTSC-443,25,,,,
#,INZ,,,,,,,,,,,,,,,,,,,,
#,INZ,DVB-T2,DVB-T2,,,xxx[kHz](),8/7/6[MHz},qpsk/16qam/64qam/256qam/bpsk,hex(1byte),,,,on/off,,,hex,hex,mpeg2/avc,hex,mpeg-audio/ac3/aac/heaac,23.97/24/25/29.97/30/47.94/48/50/59.94/60
